store,level,latitude,longitude
Nike Boston,city,,
Nike Bucktown,city,,
Nike Chicago,city,,
Nike Dallas North Park,city,,
Nike Eugene,city,,
Nike Flatiron,city,,
Nike Georgetown,city,,
Nike Kansas City,city,,
Nike Las Vegas,city,,
Nike Lenox Square,city,,
Nike Lynnfield,city,,
Nike Miami,city,,
Nike NYC,city,,
Nike Pasadena,city,,
Nike Portland,city,,
Nike San Francisco,city,,
Nike Santa Monica,city,,
Nike Seattle,city,,
Nike Soho,city,,
Nike South Coast Plaza,city,,
Nike The Grove,city,,
Nike Upper East Side,city,,
Nike Factory Store - Albertville,factory,,
Nike Factory Store - Asheville,factory,,
Nike Factory Store - Atlanta Woodstock,factory,,
Nike Factory Store - Aurora Farms,factory,,
Nike Factory Store - Bend,factory,,
Nike Factory Store - Bossier City,factory,,
Nike Factory Store - Chandler,factory,,
Nike Factory Store - Charlotte,factory,,
Nike Factory Store - Citadel,factory,,
Nike Factory Store - Concord,factory,,
Nike Factory Store - Dorchester,factory,,
Nike Factory Store - Eagan,factory,,
Nike Factory Store - Foley,factory,,
Nike Factory Store - Freeport,factory,,
Nike Factory Store - Glendale,factory,,
Nike Factory Store - Grand Rapids,factory,,
Nike Factory Store - Howell,factory,,
Nike Factory Store - Jeffersonville,factory,,
Nike Factory Store - Jersey Gardens,factory,,
Nike Factory Store - Lakewood,factory,,
Nike Factory Store - Lawrenceville,factory,,
Nike Factory Store - Leeds,factory,,
Nike Factory Store - Lehi,factory,,
Nike Factory Store - Lincoln City,factory,,
Nike Factory Store - Little Rock,factory,,
Nike Factory Store - Livermore,factory,,
Nike Factory Store - Marana,factory,,
Nike Factory Store - Mebane,factory,,
Nike Factory Store - Meridian,factory,,
Nike Factory Store - Merrimack,factory,,
Nike Factory Store - Miami,factory,,
Nike Factory Store - Milpitas,factory,,
Nike Factory Store - Nashville,factory,,
Nike Factory Store - Newark,factory,,
Nike Factory Store - North Bend,factory,,
Nike Factory Store - Oak Brook,factory,,
Nike Factory Store - Orange,factory,,
Nike Factory Store - Paramus,factory,,
Nike Factory Store - Park City,factory,,
