,store,level,latitude,longitude,Stadium_200,Stadium_500,Stadium_1000,Food_200,Food_500,Food_1000,Athletics_Sports_200,Athletics_Sports_500,Athletics_Sports_1000,Parking_200,Parking_500,Parking_1000,Shop_Service_200,Shop_Service_500,Shop_Service_1000,Clothing_Store_200,Clothing_Store_500,Clothing_Store_1000,Bus_Stop_200,Bus_Stop_500,Bus_Stop_1000,Metro_Station_200,Metro_Station_500,Metro_Station_1000
0,Nike Boston,city,42.3499852,-71.0800316,0,0,2,49,50,50,9,49,50,3,21,37,50,50,50,47,50,50,1,8,16,2,7,11
1,Nike Bucktown,city,41.9116541,-87.6777227,0,1,1,47,50,50,17,46,49,1,3,3,50,50,50,45,50,50,2,7,21,1,1,1
2,Nike Chicago,city,41.8944212,-87.6237117,1,2,2,50,50,50,28,50,50,13,49,50,50,50,50,46,50,50,2,6,22,0,2,5
3,Nike Dallas North Park,city,32.8675723,-96.7730636,0,0,0,46,50,50,3,15,34,1,5,7,50,50,50,50,50,50,0,1,1,0,0,0
4,Nike Eugene,city,44.0641939,-123.0780731,0,0,1,9,30,44,3,10,13,0,1,1,43,48,50,14,20,23,2,3,8,0,0,0
5,Nike Flatiron,city,40.7399068,-73.9910571,0,1,5,50,50,50,49,50,50,8,46,50,50,50,50,48,50,50,2,30,49,0,7,26
6,Nike Georgetown,city,38.9049209,-77.060272,0,0,0,49,50,50,16,45,50,6,17,29,50,50,50,46,50,50,2,4,21,0,0,1
7,Nike Kansas City,city,39.041207,-94.589665,0,0,1,27,50,50,6,18,48,1,11,21,49,50,50,34,50,50,3,6,18,0,0,0
8,Nike Las Vegas,city,36.1194233,-115.1785833,0,0,1,15,50,50,0,13,50,1,11,50,33,50,50,21,50,50,0,2,10,0,0,0
9,Nike Lenox Square,city,33.846335,-84.3635778,0,0,0,42,50,50,9,38,48,0,15,27,50,50,50,50,50,50,0,0,1,0,1,3
10,Nike Lynnfield,city,42.5172342,-71.0357348,0,0,0,14,30,42,2,5,9,0,0,0,39,48,49,21,32,32,0,0,0,0,0,0
11,Nike Miami,city,25.790824,-80.1396801,0,0,1,49,50,50,4,29,48,7,15,34,50,50,50,48,49,50,0,1,7,0,0,0
12,Nike NYC,city,40.7232406,-73.998898,0,0,1,50,50,50,47,50,50,1,31,49,50,50,50,50,50,50,5,19,50,2,10,22
13,Nike Pasadena,city,34.146029,-118.151352,0,0,1,50,50,50,8,33,47,6,14,31,50,50,50,49,49,48,1,6,10,0,0,0
14,Nike Portland,city,45.5189265,-122.6772507,0,0,28,50,50,50,11,45,50,14,46,50,50,50,50,49,50,50,8,43,50,0,0,0
15,Nike San Francisco,city,37.7886838,-122.4066997,0,0,0,50,50,50,16,50,50,12,50,50,50,50,50,50,50,50,3,34,47,1,5,8
16,Nike Santa Monica,city,34.013895,-118.4944175,0,0,0,50,50,50,14,49,50,7,25,36,50,50,50,49,50,50,2,8,13,0,0,0
17,Nike Seattle,city,47.6114771,-122.3343572,0,0,1,50,50,50,26,50,50,18,48,50,50,50,50,49,50,50,8,50,50,0,1,1
18,Nike Soho,city,40.7232406,-73.998898,0,0,1,50,50,50,47,50,50,1,31,49,50,50,50,50,50,50,5,19,50,2,10,22
19,Nike South Coast Plaza,city,33.6925564,-117.8928139,0,0,1,16,50,50,1,2,15,4,10,21,50,50,50,32,50,50,0,0,0,0,0,0
20,Nike The Grove,city,34.07352,-118.3595218,0,0,0,50,50,50,2,26,48,4,6,12,50,50,50,33,49,50,2,5,10,0,0,0
21,Nike Upper East Side,city,40.7661828,-73.9627947,0,0,0,49,50,50,33,50,50,16,42,47,50,50,50,13,50,50,8,33,50,0,3,6
22,Nike Factory Store - Albertville,factory,45.2449003,-93.6720847,0,0,1,1,5,25,0,1,7,0,0,0,26,49,50,20,50,50,0,0,0,0,0,0
23,Nike Factory Store - Asheville,factory,35.5297958,-82.6039954,0,1,1,13,27,32,2,6,13,0,0,0,50,50,50,39,42,43,0,0,0,0,0,0
24,Nike Factory Store - Atlanta Woodstock,factory,34.1199532,-84.5256791,0,0,0,18,30,31,0,2,4,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0
25,Nike Factory Store - Aurora Farms,factory,41.3012697,-81.3398326,0,0,2,2,7,7,0,0,4,0,0,0,45,50,50,35,50,50,0,0,0,0,0,0
26,Nike Factory Store - Bend,factory,44.0261461,-121.3133421,0,0,0,11,17,35,2,2,6,0,0,0,35,42,49,10,10,10,0,0,0,0,0,0
27,Nike Factory Store - Bossier City,factory,32.5175891,-93.7399998,0,0,0,14,47,43,3,4,10,3,4,7,49,44,41,33,42,47,0,0,0,0,0,0
28,Nike Factory Store - Chandler,factory,33.2880176,-111.9740931,0,0,0,13,27,30,0,1,4,0,0,0,49,49,49,49,49,49,0,0,0,0,0,0
29,Nike Factory Store - Charlotte,factory,35.169382,-80.969437,0,0,0,12,16,31,0,1,2,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0
30,Nike Factory Store - Citadel,factory,34.0083291,-118.1515229,0,0,0,2,26,47,1,3,5,1,3,3,50,50,50,50,50,50,0,0,0,0,0,0
31,Nike Factory Store - Concord,factory,35.3705705,-80.7238238,0,0,0,37,49,50,2,5,7,0,1,1,49,50,50,49,50,50,0,0,0,0,0,0
32,Nike Factory Store - Dorchester,factory,42.3257874,-71.0621741,0,0,2,11,43,50,1,5,18,1,2,4,20,49,50,10,10,12,1,1,2,1,2,5
33,Nike Factory Store - Eagan,factory,44.815215,-93.2168425,0,0,1,9,15,30,1,4,11,0,1,1,50,50,50,49,50,50,0,0,0,0,0,0
34,Nike Factory Store - Foley,factory,30.37657,-87.677558,0,0,0,8,17,44,0,0,2,1,1,1,33,50,50,23,50,50,0,0,0,0,0,0
35,Nike Factory Store - Freeport,factory,43.8557402,-70.1026413,0,0,0,32,48,47,2,6,8,2,3,3,50,50,50,50,50,50,1,1,1,0,0,0
36,Nike Factory Store - Glendale,factory,33.5344327,-112.2673551,0,1,22,7,48,49,1,3,12,0,1,8,50,50,50,50,50,50,0,0,1,0,0,0
37,Nike Factory Store - Grand Rapids,factory,42.8090153,-85.6703086,0,0,0,3,5,5,1,1,3,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0
38,Nike Factory Store - Howell,factory,42.620414,-83.996366,0,0,0,1,9,13,0,1,2,0,1,1,48,49,49,38,48,49,0,0,0,0,0,0
39,Nike Factory Store - Jeffersonville,factory,39.6210221,-83.5993086,0,0,0,3,19,28,0,0,0,0,0,0,49,50,50,41,50,49,0,0,0,0,0,0
40,Nike Factory Store - Jersey Gardens,factory,40.6602533,-74.1701446,0,0,0,31,41,50,0,1,5,0,1,5,50,50,50,50,50,50,0,0,0,0,0,0
41,Nike Factory Store - Lakewood,factory,39.730932,-105.161597,0,0,0,17,48,48,2,4,11,0,0,0,50,50,50,37,50,50,0,0,2,0,0,0
42,Nike Factory Store - Lawrenceville,factory,33.9807705,-84.0802851,0,0,0,28,47,48,3,8,21,1,2,2,50,50,50,49,48,48,0,2,2,0,0,0
43,Nike Factory Store - Leeds,factory,33.5495045,-86.5953106,0,0,0,14,16,18,0,0,0,0,0,0,50,50,49,50,50,49,0,0,0,0,0,0
44,Nike Factory Store - Lehi,factory,40.434725,-111.884061,0,0,0,6,40,50,0,1,8,0,0,1,49,49,50,40,45,46,0,0,0,0,0,0
45,Nike Factory Store - Lincoln City,factory,44.9593426,-124.0112619,0,0,0,6,17,30,1,1,1,0,0,0,46,49,49,48,48,48,0,0,0,0,0,0
46,Nike Factory Store - Little Rock,factory,34.7676314,-92.459925,0,0,0,10,20,25,1,3,7,0,0,0,40,44,45,17,22,24,0,0,0,0,0,0
47,Nike Factory Store - Livermore,factory,37.6986352,-121.8433034,0,0,0,27,38,50,1,2,4,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0
48,Nike Factory Store - Marana,factory,32.3748421,-111.1019559,0,0,0,9,9,10,2,2,3,0,0,0,46,47,47,34,35,36,0,0,0,0,0,0
49,Nike Factory Store - Mebane,factory,36.073985,-79.266187,0,0,0,9,9,40,0,3,5,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0
50,Nike Factory Store - Meridian,factory,43.624488,-116.3515991,0,0,0,9,31,50,0,5,10,0,0,0,10,39,50,4,25,39,0,0,0,0,0,0
51,Nike Factory Store - Merrimack,factory,42.8257726,-71.5009441,0,0,0,11,15,27,0,0,2,0,0,1,50,50,50,50,50,50,0,0,0,0,0,0
52,Nike Factory Store - Miami,factory,25.790824,-80.1396801,0,0,1,49,50,50,4,29,48,7,15,34,50,50,50,48,49,50,0,1,7,0,0,0
53,Nike Factory Store - Milpitas,factory,37.414967,-121.8967271,0,1,1,45,47,50,2,11,26,1,3,4,50,50,50,50,50,50,0,1,1,0,0,0
54,Nike Factory Store - Nashville,factory,36.2043684,-86.6950955,0,0,0,14,43,50,0,2,6,1,1,3,31,50,50,20,50,50,0,0,0,0,0,0
55,Nike Factory Store - Newark,factory,40.7381915,-74.1710481,0,5,7,44,50,50,8,30,49,3,20,47,32,50,50,10,48,48,2,7,20,1,1,2
56,Nike Factory Store - North Bend,factory,47.4901041,-121.7963622,0,0,0,3,17,40,0,1,11,0,0,2,48,47,50,33,42,44,1,1,1,0,0,0
57,Nike Factory Store - Oak Brook,factory,41.8451402,-87.9694666,0,0,1,10,20,43,0,1,12,0,0,0,26,40,46,9,11,20,0,1,1,0,0,0
58,Nike Factory Store - Orange,factory,33.7845472,-117.8928533,0,0,0,25,49,50,2,10,27,2,8,11,50,50,50,38,50,50,0,1,1,0,0,0
59,Nike Factory Store - Paramus,factory,40.915471,-74.0598142,0,0,0,23,31,50,1,3,16,2,2,3,50,50,50,37,44,50,1,3,3,0,0,0
60,Nike Factory Store - Park City,factory,40.7258981,-111.5525668,0,0,0,3,18,47,0,3,7,0,0,0,29,50,50,20,50,50,0,0,0,0,0,0
61,Nike Factory Store - Pearl,factory,32.2734,-90.1538649,0,1,2,10,14,31,0,1,5,0,0,1,47,47,46,34,38,39,0,0,0,0,0,0
62,Nike Factory Store - Pembroke Pines ,factory,26.0023718,-80.336363,0,0,0,18,31,43,0,1,7,0,0,0,39,50,50,23,38,40,0,0,0,0,0,0
63,Nike Factory Store - Phoenix,factory,33.8748848,-112.1489412,0,0,0,12,20,32,1,1,9,0,0,0,49,46,49,36,47,47,0,0,0,0,0,0
64,Nike Factory Store - Pleasant Prairie,factory,42.5185267,-87.9498111,0,0,0,3,14,19,0,1,4,1,1,1,49,50,50,44,50,50,0,0,0,0,0,0
65,Nike Factory Store - Riverhead,factory,40.9194936,-72.7116112,0,0,0,2,19,32,0,4,8,0,0,0,50,50,50,49,50,50,0,0,0,0,0,0
66,Nike Factory Store - Rosemont,factory,41.9748881,-87.8681309,0,2,3,25,50,50,0,12,22,0,6,15,49,49,49,50,50,50,0,0,1,0,0,0
67,Nike Factory Store - Santa Clarita,factory,34.3871475,-118.570673,0,0,2,4,12,50,1,1,11,0,4,4,20,44,50,6,8,10,0,0,0,0,0,0
